m,alph,code,T,n_sums,i,d,sum,r,s,k,aligned,nX,nY,nZ,v_xy,v_yz,l1_xy,l1_yz,db_xy,db_yz,defX,defY,defZ,in_LA,in_LT,Tdot_v,anc_acf,anc_Tcube,eq_ok,type,types,seed,Wlen
2,0123,32 31 20 01,"5,4,2,1",4,442,21,29,0,1,10,0,10,10,10,"0,-1,1,0","0,1,-1,0",2,2,2,-2,2,0,2,0,0,-2,1,0,1,"0,1",0:1|1:1|0:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,455,173,266,1,1,86,0,86,86,86,"2,-3,3,-2","-1,2,-3,2",10,8,-2,1,1,3,2,0,0,2,0,0,1,"1,1",1:1|0:1|1:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,456,167,257,0,1,83,0,83,83,83,"1,-3,3,-1","-1,2,-3,2",8,8,2,1,3,1,0,1,0,-2,0,0,1,"0,1",0:1|1:1|0:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,456,171,263,0,1,85,0,85,85,85,"1,-3,4,-2","-1,3,-4,2",10,10,1,-1,3,2,3,0,0,-1,0,0,1,"0,1",0:1|1:1|0:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,457,171,263,1,1,85,0,85,85,85,"2,-3,3,-2","-2,3,-3,2",10,10,-2,2,0,2,0,0,0,2,0,0,1,"1,1",1:1|0:1|1:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,464,165,255,0,1,82,0,82,82,82,"2,-3,2,-1","-2,4,-2,0",8,8,-1,-2,0,1,3,0,0,1,0,0,1,"0,1",0:1|1:1|0:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,472,55,87,0,1,27,0,27,27,27,"0,-1,1,0","0,1,-2,1",2,4,2,-1,3,1,2,0,0,-2,0,0,1,"0,1",0:1|1:1|0:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,496,84,133,0,0,42,1,42,42,42,"-1,2,-2,1","2,-4,4,-2",6,12,0,0,0,0,0,0,1,0,0,1,1,"0,0",0:0|0:0|0:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,503,111,174,1,1,55,0,55,55,55,"0,-1,2,-1","1,-1,0,0",4,2,1,-1,1,0,1,1,0,-1,0,0,1,"1,1",1:1|0:1|1:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,508,21,35,0,1,10,0,10,10,10,"-1,1,-1,1","1,-1,2,-2",4,6,2,-3,2,0,3,0,0,-2,1,0,1,"0,1",0:1|1:1|0:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,529,45,72,1,1,22,0,22,22,22,"0,2,-3,1","0,-1,1,0",6,2,-3,2,0,3,1,0,0,3,0,0,1,"1,1",1:1|0:1|1:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,529,59,95,1,1,29,0,29,29,29,"0,2,-3,1","1,-3,4,-2",6,10,-3,1,0,3,2,0,0,3,0,0,1,"1,1",1:1|0:1|1:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,533,6,11,1,0,3,0,2,2,2,"0,0,0,0","1,-1,0,0",0,2,0,-1,4,4,5,1,1,0,1,0,1,"1,0",1:0|1:0|1:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,537,4,8,1,0,2,0,1,1,1,"-1,1,0,0","1,-1,0,0",2,2,1,-1,4,3,4,0,0,-1,1,0,1,"1,0",1:0|1:0|1:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,537,95,149,1,1,47,0,47,47,47,"0,0,1,-1","0,-1,1,0",2,2,-1,2,2,3,1,0,0,1,0,0,1,"1,1",1:1|0:1|1:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,539,6,11,1,0,3,0,2,2,2,"1,-1,0,0","-1,0,1,0",2,2,-1,3,4,5,2,0,0,1,1,0,1,"1,0",1:0|1:0|1:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,541,4,8,1,0,2,0,1,1,1,"1,-1,0,0","-1,1,0,0",2,2,-1,1,3,4,3,0,0,1,1,0,1,"1,0",1:0|1:0|1:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,549,13,20,1,1,6,0,6,6,6,"1,0,-1,0","-1,1,-1,1",2,4,-3,2,0,3,1,0,0,3,1,0,1,"1,1",1:1|0:1|1:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,554,92,142,0,0,46,1,46,46,46,"0,-1,3,-2","0,1,-3,2",6,6,0,0,0,0,0,0,1,0,0,1,1,"0,0",0:0|0:0|0:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,555,92,142,1,0,46,0,45,45,45,"1,-2,3,-2","-1,2,-3,2",8,8,-1,1,4,5,4,0,0,1,0,0,1,"1,0",1:0|1:0|1:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,556,15,21,0,1,7,0,7,7,7,"-1,1,-1,1","1,-1,0,0",4,2,2,-1,3,1,2,0,0,-2,1,0,1,"0,1",0:1|1:1|0:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,559,82,126,1,0,41,0,40,40,40,"1,-2,2,-1","0,-1,1,0",6,2,0,2,4,4,2,0,1,0,0,0,1,"1,0",1:0|1:0|1:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,591,134,205,1,0,67,0,66,66,66,"1,-1,1,-1","-1,2,-2,1",4,6,-2,0,2,4,4,0,0,2,0,0,1,"1,0",1:0|1:0|1:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,596,24,40,0,0,12,1,12,12,12,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,0,1,1,"0,0",0:0|0:0|0:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,598,25,43,0,1,12,0,12,12,12,"-1,1,-1,1","1,-1,1,-1",4,4,2,-2,3,1,3,0,0,-2,0,0,1,"0,1",0:1|1:1|0:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,604,19,32,0,1,9,0,9,9,9,"-1,1,-1,1","1,-2,1,0",4,4,2,1,3,1,0,0,0,-2,0,0,1,"0,1",0:1|1:1|0:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,612,16,28,0,0,8,1,8,8,8,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,0,1,1,"0,0",0:0|0:0|0:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,617,110,170,1,0,55,0,54,54,54,"-1,0,0,1","0,1,-1,0",2,2,4,-2,5,1,3,0,0,-4,0,0,1,"1,0",1:0|1:0|1:0,2,2048
